name,displayName,description,module,path,standalone
"editorial-review-prose","Editorial Review - Prose","Review text for communication issues that impede comprehension and output suggested fixes in a three-column table","core","_bmad/core/tasks/editorial-review-prose.xml","true"
"editorial-review-structure","Editorial Review - Structure","Review document structure and propose substantive changes to improve clarity and flow-run this BEFORE copy editing","core","_bmad/core/tasks/editorial-review-structure.xml","true"
"help","help","Analyzes what is done and the users query and offers advice on what to do next. Use if user says what should I do next or what do I do now","core","_bmad/core/tasks/help.md","true"
"index-docs","Index Docs","","core","_bmad/core/tasks/index-docs.xml","true"
"review-adversarial-general","Adversarial Review (General)","Cynically review content and produce findings","core","_bmad/core/tasks/review-adversarial-general.xml","true"
"review-edge-case-hunter","Edge Case Hunter Review","You are a pure path tracer. Never comment on whether code is good or bad; only list missing handling. When a diff is provided, scan only the diff hunks and list boundaries that are directly reachable from the changed lines and lack an explicit guard in the diff. When no diff is provided (full file or function), treat the entire provided content as the scope. Ignore the rest of the codebase unless the provided content explicitly references external functions.","core","_bmad/core/tasks/review-edge-case-hunter.xml","true"
"shard-doc","Shard Document","Split large markdown documents into smaller, organized files based on level 2 sections using @kayvan/markdown-tree-parser tool","core","_bmad/core/tasks/shard-doc.xml","true"
